Type,Name Used,Correct Name,Common Name,Papers
Outdated,Misgurnus fossilis,Misgurnus anguillicaudatus,,4
Outdated,Tilapia zilli,Coptodon zillii,,2
Outdated,Notropis volucellus,Paranotropis volucellus,,2
Outdated,Stizostedion vitreum,Sander vitreus,,2
Outdated,Tilapia rendalli,Coptodon rendalli,,2
Outdated,Tilapia zillii,Coptodon zillii,,2
Outdated,Ariopsis seemanni,Ariopsis guatemalensis,,2
Outdated,Gonostoma elongatum,Sigmops elongatus,,1
Outdated,Heterandria bimaculata,Pseudoxiphophorus bimaculatus,,1
Outdated,Astyanax fasciatus,Astyanax finitimus,,1
Outdated,Semicossyphus pulcher,Bodianus pulcher,,1
Outdated,Clupea pallasi,Clupea pallasii,,1
Outdated,Acanthurus bahianus,Acanthurus tractus,,1
Outdated,Notropis anogenus,Miniellus anogenus,,1
Outdated,Notropis hudsonius,Hudsonius hudsonius,,1
Outdated,Notropis stramineus,Miniellus stramineus,,1
Outdated,Phoxinus neogaeus,Chrosomus neogaeus,,1
Outdated,Aristichthys nobilis,Hypophthalmichthys nobilis,,1
Outdated,Notropis topeka,Miniellus topeka,,1
Outdated,Clepticus parrae,Bodianus parrae,,1
Misspelling,Xiphophorus helleri,Xiphophorus hellerii,,2
Misspelling,Sparus aurata,Sparus auratus,,2
Misspelling,Cyrpinus carpio,Cyprinus carpio,,1
Misspelling,Lestidiops afnis,Lestidiops affinis,,1
Misspelling,Diaphus rafnesquii,Diaphus rafinesquii,,1
Misspelling,Myctophum afne,Myctophum affine,,1
Misspelling,Astronesthes nigra,Astronesthes niger,,1
Misspelling,Stomias afnis,Stomias affinis,,1
Misspelling,Vinciguerria attenuate,Vinciguerria attenuata,,1
Misspelling,Clarias batradrus,Clarias batrachus,,1
Misspelling,Atractoseus spatula,Atractosteus spatula,,1
Misspelling,Haemulon plumieri,Haemulon plumierii,,1
Misspelling,Lepomis macrohirus,Lepomis macrochirus,,1
Misspelling,Pomoxis anularis,Pomoxis annularis,,1
Misspelling,Lepomis cynellis,Lepomis cyanellus,,1
Misspelling,Nacomis micropogon,Nocomis micropogon,,1
Misspelling,Lepomis cyanellis,Lepomis cyanellus,,1
Misspelling,Orechromis niloticus,Oreochromis niloticus,,1
Misspelling,Oreochronmis niloticus,Oreochromis niloticus,,1
Misspelling,Polyodon spathala,Polyodon spathula,,1
